Time Step,Time of Day,Edge ID,Pedestrian Density,Latitude,Longitude
36180,10:03:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
39600,11:00:00,:2342415633_7_0,4.366197183098592,33.94094129973014,-84.5199618364582
39660,11:01:00,-225470257_0,2.7218174024860695,33.9408791788246,-84.51994384325106
39660,11:01:00,:2342415633_7_0,2.9577464788732395,33.94094129973014,-84.5199618364582
39720,11:02:00,:8549651553_7_0,4.463336875664187,33.94073228521329,-84.5170099198975
39720,11:02:00,:2342415677_6_0,4.9079754601226995,33.94047196785136,-84.51982022658422
39780,11:03:00,-563616188#1_0,2.142857142857143,33.94032219343447,-84.51701620769204
39780,11:03:00,:12625990039_1_0,2.5504782146652496,33.94024653130135,-84.51701970364128
43200,12:00:00,:2342415633_7_0,4.084507042253521,33.94094129973014,-84.5199618364582
43260,12:01:00,-225470257_0,2.6789541363051868,33.9408791788246,-84.51994384325106
43260,12:01:00,:2342415633_7_0,4.788732394366197,33.94094129973014,-84.5199618364582
43320,12:02:00,-563616188#2_0,2.5930101465614435,33.940486758787955,-84.51700861477704
43320,12:02:00,:12625990043_1_0,3.723404255319149,33.94057151717197,-84.51700463821129
43320,12:02:00,-563616188#3_0,2.014218009478673,33.94064746858918,-84.517006542438
43320,12:02:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
43380,12:03:00,:12625990038_0_0,2.1253985122210413,33.940056144278834,-84.5170791036242
43380,12:03:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
46800,13:00:00,:2342415633_7_0,3.098591549295775,33.94094129973014,-84.5199618364582
46860,13:01:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
46860,13:01:00,-225470257_0,2.4432061723103304,33.9408791788246,-84.51994384325106
46860,13:01:00,:2342415633_7_0,4.366197183098592,33.94094129973014,-84.5199618364582
46920,13:02:00,-563616188#3_0,2.3696682464454977,33.94064746858918,-84.517006542438
46920,13:02:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
46980,13:03:00,:2342415677_6_0,4.294478527607362,33.94047196785136,-84.51982022658422
50400,14:00:00,:2342415633_7_0,4.929577464788733,33.94094129973014,-84.5199618364582
50460,14:01:00,:8549651553_7_0,2.3379383634431457,33.94073228521329,-84.5170099198975
50460,14:01:00,-225470257_0,2.4646378054007716,33.9408791788246,-84.51994384325106
50460,14:01:00,:2342415677_6_0,4.9079754601226995,33.94047196785136,-84.51982022658422
50460,14:01:00,:2342415633_7_0,5.070422535211268,33.94094129973014,-84.5199618364582
50520,14:02:00,:12625990043_1_0,2.234042553191489,33.94057151717197,-84.51700463821129
50520,14:02:00,:12625990041_1_0,3.08182784272051,33.94040686171634,-84.51701223376942
50520,14:02:00,-225470257_0,2.0145735105015006,33.9408791788246,-84.51994384325106
50520,14:02:00,-563616188#3_0,2.014218009478673,33.94064746858918,-84.517006542438
50520,14:02:00,:2342415677_6_0,5.214723926380368,33.94047196785136,-84.51982022658422
50580,14:03:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
54000,15:00:00,:2342415633_7_0,3.098591549295775,33.94094129973014,-84.5199618364582
54060,15:01:00,-225470257_0,2.507501071581655,33.9408791788246,-84.51994384325106
54060,15:01:00,:2342415633_7_0,4.788732394366197,33.94094129973014,-84.5199618364582
54120,15:02:00,:12625990043_1_0,2.3404255319148937,33.94057151717197,-84.51700463821129
54120,15:02:00,:2342415677_6_0,5.214723926380368,33.94047196785136,-84.51982022658422
54180,15:03:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
57600,16:00:00,:2342415633_7_0,4.507042253521127,33.94094129973014,-84.5199618364582
57600,16:00:00,-225470244#0_0,2.13089802130898,33.940993997808306,-84.52072465810969
57660,16:01:00,-225470257_0,2.6146592370338624,33.9408791788246,-84.51994384325106
57660,16:01:00,:2342415677_6_0,4.294478527607362,33.94047196785136,-84.51982022658422
57660,16:01:00,:2342415633_7_0,4.507042253521127,33.94094129973014,-84.5199618364582
