Time Step,Time of Day,Edge ID,Pedestrian Density,Latitude,Longitude
540,18:09:00,-225470238_0,2.145214521452145,33.93845122678029,-84.5199753450518
540,18:09:00,:2342415566_5_0,3.062302006335797,33.938671647276166,-84.52026533620749
540,18:09:00,-225470244#0_0,6.556609296335324,33.940993997808306,-84.52072465810969
540,18:09:00,:2342378532_2_0,8.333333333333334,33.9393039701689,-84.52063889611075
540,18:09:00,-225470257_0,4.864980711530219,33.9408791788246,-84.51994384325106
540,18:09:00,:2342415633_7_0,4.788732394366197,33.94094129973014,-84.5199618364582
540,18:09:00,:2342415677_6_0,4.9079754601226995,33.94047196785136,-84.51982022658422
540,18:09:00,-225466081#2_0,5.0,33.93861336195964,-84.52157437006221
540,18:09:00,778437844#0_0,5.0,33.940953276493346,-84.52112889188555
540,18:09:00,-372396764#3_0,2.0114942528735633,33.94003968588841,-84.51834140511866
540,18:09:00,:12625990041_1_0,4.038257173219979,33.94040686171634,-84.51701223376942
540,18:09:00,-563616188#2_0,2.3675310033821875,33.940486758787955,-84.51700861477704
540,18:09:00,:12625990039_1_0,2.763018065887354,33.94024653130135,-84.51701970364128
540,18:09:00,-563616188#0_0,2.777777777777778,33.94016186083505,-84.51702356943031
540,18:09:00,:8549651553_7_0,2.1253985122210413,33.94073228521329,-84.5170099198975
540,18:09:00,-225470265#1_0,5.0,33.9406069414157,-84.5189798120925
540,18:09:00,-1134398602_0,10.0,33.938798036629386,-84.52105672121651
540,18:09:00,-225470245#2_0,5.0,33.940444000335965,-84.5198193073335
600,18:10:00,225466096#3_0,4.288266825491364,33.93789613205457,-84.51983709195177
600,18:10:00,1134398601#1_0,2.1167883211678835,33.93879938991456,-84.52084196397838
600,18:10:00,-225470244#0_0,7.282519611286735,33.940993997808306,-84.52072465810969
600,18:10:00,:10575648963_4_0,5.018820577164367,33.938758177547285,-84.52037164527982
600,18:10:00,:2342378668_0_0,4.054054054054054,33.938047394984615,-84.51983151347649
600,18:10:00,:10575648972_6_0,2.2547914317925595,33.93879133508427,-84.52074646690768
600,18:10:00,:5257043612_0_0,2.0242914979757085,33.93881409225591,-84.52153599090134
600,18:10:00,:2342415566_5_0,2.1119324181626187,33.938671647276166,-84.52026533620749
600,18:10:00,-1134398602_0,5.0,33.938798036629386,-84.52105672121651
600,18:10:00,225470262#0_0,5.0,33.93929812190349,-84.51874304678343
600,18:10:00,-225470257_0,4.929275610801543,33.9408791788246,-84.51994384325106
600,18:10:00,:2342415633_7_0,4.788732394366197,33.94094129973014,-84.5199618364582
600,18:10:00,-225470358#2_0,2.4691358024691357,33.9399281166279,-84.52033824789139
600,18:10:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
600,18:10:00,:12625990039_1_0,2.0191285866099893,33.94024653130135,-84.51701970364128
600,18:10:00,:12625990041_1_0,3.5069075451647183,33.94040686171634,-84.51701223376942
600,18:10:00,-563616188#3_0,2.251184834123223,33.94064746858918,-84.517006542438
600,18:10:00,:8549651553_7_0,2.2316684378320937,33.94073228521329,-84.5170099198975
600,18:10:00,:12625990038_0_0,2.763018065887354,33.940056144278834,-84.5170791036242
600,18:10:00,1134398594_0,3.044496487119438,33.93873101339812,-84.5203390086672
600,18:10:00,-1134398600#2_0,2.150537634408602,33.93877786205949,-84.5211159345493
600,18:10:00,-225470245#2_0,5.0,33.940444000335965,-84.5198193073335
600,18:10:00,-225466110#3_0,10.0,33.93880789318166,-84.52080310057426
600,18:10:00,-225470262#0_0,5.0,33.93928680570014,-84.51875862734926
600,18:10:00,-180244645_0,10.0,33.9407225508705,-84.51877547161725
600,18:10:00,-225466081#3_0,5.0,33.93859512456781,-84.5215328206843
600,18:10:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
600,18:10:00,-225470265#1_0,5.0,33.9406069414157,-84.5189798120925
660,18:11:00,:2342415566_5_0,2.3231256599788805,33.938671647276166,-84.52026533620749
660,18:11:00,225470243#2_0,2.03862660944206,33.93879104391325,-84.52044565388142
660,18:11:00,-225470244#0_0,6.451235218358506,33.940993997808306,-84.52072465810969
660,18:11:00,-225466110#3_0,5.0,33.93880789318166,-84.52080310057426
660,18:11:00,:2342415633_7_0,5.070422535211268,33.94094129973014,-84.5199618364582
660,18:11:00,-225470257_0,4.950707243891985,33.9408791788246,-84.51994384325106
660,18:11:00,:2342415677_6_0,4.294478527607362,33.94047196785136,-84.51982022658422
660,18:11:00,:5599550287_8_0,2.2857142857142856,33.9406847081393,-84.51883476699419
660,18:11:00,1134398601#2_0,5.0,33.93882831828325,-84.52103377631191
660,18:11:00,-225470245#2_0,5.0,33.940444000335965,-84.5198193073335
660,18:11:00,-563616188#3_0,2.843601895734597,33.94064746858918,-84.517006542438
660,18:11:00,:8549651553_7_0,2.3379383634431457,33.94073228521329,-84.5170099198975
660,18:11:00,-563616188#1_0,2.738095238095238,33.94032219343447,-84.51701620769204
660,18:11:00,-563616188#2_0,2.7057497181510715,33.940486758787955,-84.51700861477704
660,18:11:00,:12625990039_1_0,4.675876726886291,33.94024653130135,-84.51701970364128
660,18:11:00,:12625990043_1_0,3.829787234042553,33.94057151717197,-84.51700463821129
660,18:11:00,:5599550287_5_0,2.4038461538461537,33.94070438667111,-84.51877783783232
660,18:11:00,-1134398602_0,10.0,33.938798036629386,-84.52105672121651
660,18:11:00,225470262#0_0,5.0,33.93929812190349,-84.51874304678343
660,18:11:00,:2342378668_2_0,7.142857142857142,33.938048763100944,-84.51985018706972
660,18:11:00,-225470265#1_0,5.0,33.9406069414157,-84.5189798120925
660,18:11:00,-225470242#0_0,3.3898305084745766,33.94015272278548,-84.51969968340052
660,18:11:00,-180244645_0,5.0,33.9407225508705,-84.51877547161725
720,18:12:00,-225470244#0_0,5.51457674745346,33.940993997808306,-84.52072465810969
720,18:12:00,-225470265#1_0,5.0,33.9406069414157,-84.5189798120925
720,18:12:00,-225470257_0,4.886412344620661,33.9408791788246,-84.51994384325106
720,18:12:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
720,18:12:00,:2342415633_7_0,5.070422535211268,33.94094129973014,-84.5199618364582
720,18:12:00,-225470358#2_0,2.4691358024691357,33.9399281166279,-84.52033824789139
