Time,Total Pedestrians,Mean Speed,Waiting Pedestrians,Average Route Time,Throughput,Max Pedestrian Density,Max Density Lane,Max Waiting Time,Total Distance Traveled,Average Distance,Deviation from Shortest Route
02:03:00,3,1.3435613082801676,0,316.0,2,0.10775862068965518,:5431067225_0_0,0.0,4498.491285234096,299.8994190156064,1.0
02:04:00,2,1.2167726302269022,0,311.25,1,0.04221190375685943,372715931#0_0,0.0,4707.940473904371,294.2462796190232,1.0
02:05:00,1,1.1732041852425847,0,310.5882352941176,1,0.02685284640171858,565255792#6_0,0.0,4905.649923009411,288.5676425299654,1.0
02:06:00,1,1.0665845262287363,0,310.5882352941176,0,0.028344671201814057,:cluster_1906841225_2342448109_5599550268_32_0,0.0,4905.649923009411,288.5676425299654,1.0
02:07:00,1,1.1692227837657758,0,310.5882352941176,0,0.01436988072998994,-586413249#1_0,0.0,4905.649923009411,288.5676425299654,1.0
02:08:00,1,1.0416752734315031,0,310.5882352941176,0,0.010575296108291032,-586413249#0_0,0.0,4905.649923009411,288.5676425299654,1.0
02:09:00,1,1.1299279207209858,0,310.5882352941176,0,0.14064697609001406,:5602981520_1_0,0.0,4905.649923009411,288.5676425299654,1.0
02:10:00,1,1.1708963674651898,0,310.5882352941176,0,0.19305019305019305,:3762648117_9_0,0.0,4905.649923009411,288.5676425299654,1.0
02:11:00,1,1.1740976296005976,0,310.5882352941176,0,0.04221190375685943,372715931#0_0,0.0,4905.649923009411,288.5676425299654,1.0
02:12:00,0,0,0,333.3333333333333,1,0,,0,5602.071397624373,311.2261887569096,1.0
02:13:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:14:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:15:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:16:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:17:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:18:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:19:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:20:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:21:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:22:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:23:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:24:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:25:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:26:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:27:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:28:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:29:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:30:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:31:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:32:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:33:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:34:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:35:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:36:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:37:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:38:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:39:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:40:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:41:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:42:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:43:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:44:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:45:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:46:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:47:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:48:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:49:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:50:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:51:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:52:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:53:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:54:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:55:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:56:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:57:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:58:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
02:59:00,0,0,0,333.3333333333333,0,0,,0,5602.071397624373,311.2261887569096,1.0
03:00:00,6,0.0,0,333.3333333333333,0,0.05955926146515784,225466096#3_0,0.0,5602.071397624373,311.2261887569096,1.0
03:01:00,6,1.318121357001339,0,333.3333333333333,0,0.13986013986013984,-225470240#5_0,0.0,5602.071397624373,311.2261887569096,1.0
